GeneID,Mean,Mean.log10,Std.Dev,log10.Std.Dev,0.025,0.975,log10.0.025,log10.0.975
b0001,1.24410629272461,0.0637208297848701,0.533952347325848,0.164115045852114,0.553858558336894,2.27173734307289,-0.256601278226407,0.356357632662236
b0002,1.03407835960388,0.0132699506357312,0.0743759961522333,0.0354825332906736,0.912048123776913,1.1841853260994,-0.0399822468569085,0.0734196676650632
b0003,0.994168162345886,-0.00520007172599435,0.106260476051706,0.0494561834768089,0.806906431416671,1.20141541957855,-0.09317682318885,0.0796932016040985
b0004,1.17675006389618,0.0689226686954498,0.106631422519114,0.039266183420917,1.00082615315914,1.42022498945395,0.000358645578857235,0.152357142060726
b0005,0.8375284075737,-0.0854688063263893,0.15760361732388,0.0891787287158865,0.541492493947347,1.15492771963278,-0.266407799124323,0.0625548000812472
b0006,1.0324991941452,0.0114756328985095,0.109218208293908,0.0458340446776401,0.835441326598326,1.26579929689566,-0.0780840707996466,0.102364814483791
b0007,0.898656368255615,-0.0485488213598728,0.0832778157757125,0.0453524966928173,0.742367502550284,1.05352599322796,-0.129381047893018,0.0226452439492968
b0008,2.06232094764709,0.309815049171448,0.335604202915485,0.0596111091465264,1.69091540475686,3.13257502913475,0.228121875620835,0.495901419007814
b0009,1.0329509973526,0.0108096916228533,0.127348050823018,0.053340878991662,0.799027674893538,1.30027538935343,-0.0974383991001756,0.114035340458272
b0010,1.85238397121429,0.263391613960266,0.286838455573573,0.0590527319967283,1.49376823306084,2.69240382711093,0.174283209402295,0.430140146024433
b0011,0.788192451000214,-0.108177438378334,0.108882771407626,0.0679247321722902,0.552026412884394,0.984175177911917,-0.258040155165499,-0.00692759647805609
b0012,0.580988466739655,-0.248100832104683,0.113815457975179,0.119810340469372,0.314821471770604,0.774934623142084,-0.501935683684948,-0.110734934939636
b0013,1.03190338611603,0.00869212113320827,0.153736697150635,0.0663893306439464,0.749474193652471,1.34484113454819,-0.125243367145747,0.128670876168076
b0014,2.71398258209229,0.428252846002579,0.500587654482918,0.0633171868420605,2.29689997633298,4.42236406405767,0.361142083278344,0.64565442204103
b0015,1.47918915748596,0.167141169309616,0.181804736663706,0.048684426096942,1.24082162380218,2.00478526353836,0.0937093126097118,0.302067816454783
b0016,0.516038358211517,-0.29907438158989,0.0949894658556934,0.117358230358977,0.227169345443447,0.655159391959508,-0.643650629246379,-0.183653029296627
b0018,0.697282373905182,-0.170681089162827,0.179918120457263,0.113718975278406,0.385063771903515,1.03307769795259,-0.414467343697218,0.0141329593096565
b4412,0.940620601177216,-0.0415850356221199,0.237669769895722,0.11873207239297,0.504167744020621,1.44407408237457,-0.297424983369341,0.159589473170815
b0019,0.971549212932587,-0.0145042389631271,0.0897782231911754,0.0424543429200168,0.810303108394146,1.14797594944636,-0.0913525103328182,0.0599327550205781
b0020,0.759426593780518,-0.125140339136124,0.106323531245683,0.0773637188314242,0.542788955569267,0.941654286781948,-0.265369496379832,-0.0261087813177096
b0021,0.774849474430084,-0.118813589215279,0.12769569954707,0.0937216487374538,0.512339435517788,1.00318496227264,-0.290442659951227,0.00138101273317531
b0022,0.917880773544312,-0.0452691726386547,0.16481659358188,0.0885052489203141,0.602156762778759,1.24205261369546,-0.220290805902545,0.0941399929700962
b0023,2.12179160118103,0.315975844860077,0.535700194423271,0.0921253708223129,1.45750654240449,3.53703665733338,0.163610508151103,0.548638204949329
b0024,0.594969749450684,-0.239412933588028,0.138299226400607,0.117572675939882,0.304259400069714,0.859432804584503,-0.516756175384013,-0.0657881100360941
b0025,0.870725691318512,-0.0627798289060593,0.0928231407336984,0.0493303411455381,0.689968425532182,1.04590383271376,-0.1611707830778,0.0194917442733038
b0026,1.91410446166992,0.278921961784363,0.253973013096587,0.0487609711438226,1.67911991079648,2.81807159781456,0.225081704484483,0.449951992236396
b0027,1.22439253330231,0.0843605026602745,0.15970393601094,0.0553044321553015,0.953219524025917,1.56566257178783,-0.0208070713853277,0.194698169598081
b0028,1.4106867313385,0.144917502999306,0.213668304009036,0.0614560056689449,1.07878047923247,1.91368291676045,0.032933077294266,0.281869827696346
b0029,1.52499616146088,0.180370286107063,0.186274397199395,0.0490257341485237,1.2579627652963,2.01595294276873,0.0996677571674484,0.30448039026005
b0030,0.987479507923126,-0.00929076969623566,0.114185085952048,0.0642303279025366,0.790749006470044,1.19622743825118,-0.101961348726071,0.0778137452106793
b0031,0.910933494567871,-0.0439209043979645,0.109082204738332,0.0562047547922545,0.702739587426186,1.12306108474731,-0.153205587912708,0.0504033598688915
b0032,1.24022328853607,0.0913544669747353,0.125464425992269,0.0430975914084822,1.03985992670059,1.54416352907817,0.0169748365736339,0.188693276660793
b0033,2.14249444007874,0.327706098556519,0.293997560337707,0.0499312858113829,1.88812089761098,3.1937953988711,0.276029798948134,0.504307087924322
b0034,0.624669551849365,-0.214148834347725,0.119458552144313,0.100032408313129,0.375081185499827,0.843795440594355,-0.425874737893027,-0.0737628340515898
b0035,0.715574979782104,-0.153042361140251,0.117339087830487,0.0900899478501717,0.460622932761908,0.917341260612011,-0.336654449799245,-0.037469077774736
b0036,1.08043873310089,0.0309436526149511,0.119684654014007,0.048168246268504,0.86513001571099,1.33292686641216,-0.0629186198878592,0.124806308691791
b0037,0.940041899681091,-0.0288426391780376,0.0847061931119182,0.043461606502784,0.792103431622187,1.0982064028581,-0.101218241520235,0.0406839669361808
b0038,1.33870887756348,0.124514706432819,0.139519004594147,0.0426798558854188,1.13331170280774,1.68194371461868,0.0543493733635936,0.225811440198918
b0039,1.47192180156708,0.165291994810104,0.170367271033226,0.0463285658873282,1.23554725249608,1.93930855989456,0.0918593571170471,0.287646839629487
b0040,1.21042943000793,0.0813349485397339,0.105832725774092,0.0371959485797061,1.04424152672291,1.46182170212269,0.0188009597473134,0.164894381007772
b0041,1.07100868225098,0.0266462489962578,0.128467303760417,0.0526821487151083,0.84696156779925,1.3487804065148,-0.0721363007365052,0.12994122479345
b0042,1.51242923736572,0.176716893911362,0.188008582269934,0.0493466926338097,1.25510135988394,2.03544505635897,0.0986787992685099,0.308659382996278
b0043,1.19847178459167,0.0760360360145569,0.122360129593603,0.0505774815867289,1.00475963652134,1.45391017297904,0.00206217629510171,0.162537575287357
b0044,1.23966479301453,0.086881160736084,0.212106336217087,0.0755653996621158,0.864783568183581,1.68248100578785,-0.063092718871722,0.225950052518298
b0045,0.887346088886261,-0.0542948544025421,0.0861430013992398,0.0480403581712226,0.73006261040767,1.04166906674703,-0.136639893305524,0.0177297672902287
b0046,0.983747959136963,-0.0117476787418127,0.137207092339444,0.0658388722907374,0.728906036913395,1.25186765094598,-0.137328476583372,0.0975583351781888
b0047,1.06766629219055,0.0273061487823725,0.0774368195780956,0.0313013091420702,0.931799103319645,1.23788898090521,-0.0306777189578575,0.0926816957471416
b0048,1.12843453884125,0.0486074723303318,0.152341738712043,0.0578467696823434,0.859715561072032,1.46347927848498,-0.0656452127833868,0.165386575410325
b0049,1.10785293579102,0.0420672260224819,0.117741075975599,0.0457640923891052,0.902920653422674,1.35821439723174,-0.0443504128568362,0.132968310538095
b0050,0.858180165290833,-0.0725476965308189,0.137331427660422,0.0758817539638075,0.586323813100656,1.12927830219269,-0.231862467449816,0.0528009762101278
b0051,1.10596883296967,0.0413321703672409,0.117990950207076,0.0456091407588212,0.895006468892097,1.35376586814721,-0.0481738260636093,0.131543556792203
b0052,0.903607726097107,-0.0467489995062351,0.0967562593805917,0.0503328059110583,0.724037080009778,1.08933035532633,-0.140239246143951,0.0371596049703948
b0053,1.64713478088379,0.213769674301147,0.208870598312332,0.0488597743459045,1.39757843116919,2.28919016718865,0.145376189312382,0.359681823546032
b0054,1.33787214756012,0.124360971152782,0.126411809810783,0.0445167162250307,1.17932789127032,1.69917931556702,0.0716345691082392,0.230239199461172
b0055,0.984224140644073,-0.0100673455744982,0.114059112446268,0.0539419710628496,0.76872865408659,1.20317335029443,-0.114226930458926,0.0803281832491106
b0056,0.526930510997772,-0.291151583194733,0.107071613267682,0.121131787171218,0.266185395419598,0.706272400915623,-0.57481589642872,-0.151027795166311
b0057,0.689492702484131,-0.178316712379456,0.194231168023112,0.123614990311765,0.349870729446411,1.07516860167185,-0.456092406460321,0.0314765712437378
b0058,0.903919041156769,-0.0476762428879738,0.113660145839391,0.0601309208988105,0.698049992322922,1.12493526339531,-0.156113541739874,0.051127509438332
b0059,1.71239399909973,0.231065765023232,0.205729467456131,0.0446809444420777,1.52011841336886,2.45426912307739,0.181877419364888,0.389922181151482
b0060,1.08309245109558,0.0335782915353775,0.0751320771205852,0.0313837589946659,0.960430144766967,1.24578854342302,-0.0175342193872124,0.0954443230855786
b0061,1.23011112213135,0.0870008021593094,0.145558060540277,0.0502977924441009,0.981962832311789,1.53721013565858,-0.00790497360948855,0.186733227861482
b0062,1.59038627147675,0.199120998382568,0.178874831793364,0.0440546780920416,1.368636739254,2.12532651424408,0.136288193791497,0.327425646429667
b0063,1.33710992336273,0.124287307262421,0.130048094539202,0.0396597341713021,1.15043516755104,1.6915930946668,0.0608620963193052,0.228295877202108
b0064,0.819198369979858,-0.0907691046595573,0.102278724061712,0.0644190257353936,0.622929816444715,0.998226921757062,-0.205560883870461,-0.000770723016266604
b0065,1.03911161422729,0.013708308339119,0.114427721407099,0.0533671866475428,0.835357792675495,1.26404659251372,-0.0781274898107382,0.101763080378202
b0066,0.970335364341736,-0.0164220426231623,0.114124611704522,0.0562661986239674,0.759739731748899,1.18649367690086,-0.119335170437169,0.0742654237894633
b0067,1.11933994293213,0.0476749800145626,0.0871281692304397,0.0333287163854997,0.975897760192553,1.32255478004615,-0.0105956792135007,0.121413562124988
b0068,1.15666079521179,0.0605446770787239,0.124030526026206,0.0495687416893427,0.948140078783035,1.41236074964205,-0.0231274978232907,0.149945638908252
b0069,1.03863680362701,0.0151304667815566,0.0803712417258179,0.0344316155843997,0.902682154874007,1.20466417968273,-0.0444651463956494,0.0808659952827565
b4662,0.685986995697021,-0.178167104721069,0.178624314540431,0.114440262856198,0.376956454416116,1.0289828012387,-0.423708818114837,0.0124080947501976
b0070,0.631339609622955,-0.210290014743805,0.103606422657526,0.116931540383717,0.369319062680006,0.782902896404266,-0.432628308333854,-0.106292100229368
b0071,1.2814462184906,0.104452401399612,0.161270140879697,0.0525800734565619,1.01838287214438,1.6554100116094,0.00791106775604961,0.218905548072689
b0072,1.52149283885956,0.179844155907631,0.171460285319538,0.0446208137879785,1.29472827613354,2.01151046554248,0.112178620249592,0.303522287613396
b0073,1.34093308448792,0.125049591064453,0.14685478426417,0.0443006533696662,1.12033056815465,1.72928452392419,0.0493461854833388,0.237866444577231
b0074,1.35650599002838,0.130518108606339,0.13194298813111,0.0400623596844693,1.1623420715332,1.69951678117117,0.0653339575869597,0.230324624711051
b0075,0.709439754486084,-0.166177660226822,0.220835966455908,0.123390573019727,0.38126194725434,1.08851223886013,-0.418777464399041,0.0368333156981549
b0076,0.670528292655945,-0.17999142408371,0.101650136037891,0.0814932883134068,0.454549837857485,0.846012349426747,-0.342419663684217,-0.0726233283259421
b4726,0.770988941192627,-0.139020621776581,0.295659034495743,0.151188147701565,0.35091340020299,1.34307524760564,-0.454800084582295,0.128100343942828
b0077,0.84551477432251,-0.0766658037900925,0.0904947825187111,0.0673844883198982,0.69025082240502,0.992430737117926,-0.160993921680751,-0.00329979402726548
b0078,0.711220562458038,-0.157708942890167,0.124623173963117,0.105996419028533,0.44568577905496,0.925261074304581,-0.350971698334655,-0.0337357546204646
b0080,1.07067465782166,0.0275222472846508,0.104590067075176,0.0437030845095679,0.887370292345683,1.28653450111548,-0.0518951169210201,0.109421436917228
b0081,0.758560359477997,-0.127792671322823,0.128021200223241,0.0897942852601328,0.50042699923118,0.988418065011501,-0.300659436182162,-0.00505932671648725
b0082,1.14378607273102,0.0522001758217812,0.136085829980638,0.0996448322841765,0.947762610018253,1.40563587148984,-0.0233004425895334,0.147872829484997
b0083,0.737126529216766,-0.14045986533165,0.131216678760659,0.0884109354729377,0.4855891905725,0.989984577894211,-0.313731002196164,-0.00437157230088135
b0084,1.14873540401459,0.0587225221097469,0.0964063189674761,0.0360738379314296,0.993922384083271,1.38320558269819,-0.00264753427348389,0.140886732924311
b0085,1.18949663639069,0.0737787783145905,0.103743006530856,0.0367975418750202,1.01821300983429,1.42412077486515,0.00783863936480097,0.153546813183218
b0086,1.25193333625793,0.0957311242818832,0.119609005888227,0.0395201252231603,1.06623498400052,1.55156107147535,0.0278529004126038,0.19076886480137
b0087,1.30090034008026,0.112201742827892,0.130572081951075,0.0415377506938969,1.09870844185352,1.6163510620594,0.0408824612393639,0.208535473286988
b0088,1.18543171882629,0.072253093123436,0.104502436768033,0.0372580901936681,1.01451663772265,1.42358580927054,0.00625914569072825,0.153383649539701
b0089,1.13811028003693,0.0544038191437721,0.10076911690592,0.0403317491299828,0.967071685194969,1.35069503982862,-0.0145413474418585,0.130557304198462
b0090,0.898310840129852,-0.0496804006397724,0.0995940308813773,0.054777588466105,0.708456240097682,1.07140733599663,-0.149686991128576,0.0299546156836646
b0091,1.17556607723236,0.0686259567737579,0.1036781169303,0.0372557591953156,1.00891860723495,1.41134081482887,0.00385613010961091,0.149631872055442
b0092,0.764163732528687,-0.12225753068924,0.107180979859867,0.0746213508900664,0.543166517217954,0.948912970721722,-0.265067394581371,-0.0227736173468753
b0093,0.846499681472778,-0.0755123570561409,0.0981757840172606,0.0534759713928122,0.657103025416533,1.02955278853575,-0.182366538123803,0.012648590788388
b0094,0.927512407302856,-0.0352333784103394,0.0931445579184816,0.0499642844342922,0.759434645871321,1.09606051445007,-0.119509598334871,0.0398345325846897
b0095,1.66087281703949,0.217143848538399,0.219637670549879,0.0506975419360686,1.39156023363272,2.28404275973638,0.143502008797821,0.358704227899033
b0096,1.41141414642334,0.146817237138748,0.170280675145714,0.0485314439739286,1.16042982737223,1.88130718866984,0.0646188832492655,0.274459706397575
b0097,0.761728465557098,-0.127140924334526,0.128748378025875,0.100574714997523,0.489084340880314,0.978594328959783,-0.310616707933359,-0.00939730858281279
b0098,1.86943006515503,0.26870059967041,0.246058665908212,0.0485152256414774,1.63970375855764,2.71157767971357,0.214765390568589,0.433222050354334
b0099,0.738100290298462,-0.140369281172752,0.134489342922295,0.0910491572565867,0.462667682518562,0.996999012430509,-0.334731090538154,-0.00130527788254233
b0101,0.89686393737793,-0.0580227486789227,0.199781073016585,0.0980903276534315,0.547521228591601,1.29828348656495,-0.261599079136264,0.113369514489231
b0102,0.997246861457825,-0.00376746407710016,0.106441060252518,0.0479791070275454,0.798192598422368,1.21310341258844,-0.097892323461844,0.083897824370443
b0103,0.747559249401093,-0.133672580122948,0.118935803720773,0.0887815041436033,0.50428827504317,0.958705960214138,-0.297323028925324,-0.0183145747744079
