GeneID,Mean,Mean.log10,Std.Dev,log10.Std.Dev,0.025,0.975,log10.0.025,log10.0.975
b3965,1.10694622993469,0.0422466136515141,0.101409209550599,0.0410299815301795,0.927117970585823,1.31047582626343,-0.0328650009986784,0.117429012242908
b3966,0.898757517337799,-0.0484584160149097,0.0791853413965069,0.0461934606365449,0.756099172929923,1.03336389064789,-0.121421237011149,0.0142532810446733
b3967,0.713538110256195,-0.152692392468452,0.104289361597384,0.0803603919541765,0.483353168765704,0.889712324738503,-0.315736317365466,-0.0507503994799476
b3972,0.635140597820282,-0.204664006829262,0.100054717739968,0.0915592394743001,0.406735418488582,0.799563664694627,-0.390688008926529,-0.0971469544978462
b3973,0.72554737329483,-0.145761236548424,0.10305872886593,0.0857760364740858,0.496404147148132,0.896080722411474,-0.304164663133263,-0.0476528746710507
b3974,0.697220385074615,-0.162690296769142,0.10034705934856,0.0802866616227435,0.48295580620567,0.863488727311293,-0.316092763992189,-0.0637433295368484
b3980,3.58533430099487,0.548049807548523,0.736630971944239,0.0694752422062755,2.9180013914903,5.90029509862265,0.465085494656684,0.770872318210866
b3981,1.14838194847107,0.0553369261324406,0.168879628505216,0.0647814221322349,0.841541843612989,1.49841855764389,-0.0749243296583426,0.175633061786044
b3982,1.93108451366425,0.280847162008286,0.317291634007129,0.0633950039620721,1.50734183490276,2.78297782341639,0.17821172683803,0.444509729808393
b3983,3.0183310508728,0.47060689330101,0.72954762361788,0.083593075183569,2.21031971971194,4.97012060483297,0.344455095215101,0.696366371385918
b3984,3.23473024368286,0.501814723014832,0.734555364333436,0.0777707981435819,2.49452274441719,5.39066779613495,0.396987419765263,0.731642420414512
b3985,2.07038068771362,0.309319943189621,0.410437696260231,0.0729999573881779,1.54609661499659,3.11145179073016,0.189236616327175,0.49296207719918
b3986,4.07238435745239,0.59259694814682,1.44381529094812,0.111874498660547,2.67611635923386,8.27294706503551,0.427504992160692,0.917660173749267
b3987,2.44570064544678,0.384644478559494,0.373626538237452,0.0532977117421325,2.15740475853284,3.66134344935418,0.333931632026842,0.563640092244349
b3988,2.85291862487793,0.451014012098312,0.469698042608483,0.0565638720954529,2.50475449959437,4.36982305447261,0.398765165262606,0.640463803851371
b3989,0.553926944732666,-0.267792612314224,0.112007714576623,0.107887528925454,0.314914587636789,0.753596098721027,-0.501808222066437,-0.122861358817196
b3990,0.833844721317291,-0.0823012515902519,0.0923880755032253,0.0591918500041421,0.663829529782136,0.989289706448714,-0.177943449338988,-0.00467650986349927
b3991,0.965328633785248,-0.0186581313610077,0.116044807295986,0.0549656910796085,0.745573219656944,1.18862536052863,-0.127509700393808,0.0750449851329926
b4407,0.964573621749878,-0.0261309389024973,0.209431606440893,0.0968537786143603,0.590405916174253,1.39143639107545,-0.228849311306639,0.143463357214263
b3992,0.864772379398346,-0.0673788115382195,0.109541208988525,0.0661363023489439,0.651883175472418,1.06499267717203,-0.185830282325564,0.0273466213591914
b3993,0.852788865566254,-0.0738755092024803,0.115562545495259,0.0681838199597521,0.631803020338217,1.06600557068984,-0.199418716793825,0.027759474087878
b3994,1.26430368423462,0.100402094423771,0.106527856442064,0.0350589398869081,1.10276430050532,1.53755003313224,0.0424826981750868,0.186829255870176
