Gene	count	mean	std	min	25_percentile	50_percentile	75_percentile	max	cv	noise	lin_slope	lin_r	spearmans_rho
SAL1	14.0	4.446190115542263	0.08792367121192458	4.285631902877561	4.410526455372288	4.464864665104668	4.494226665386252	4.592552769241498	0.019775058854225647	0.0003910529526880881	0.31061447135017534	0.3216471630152408	0.4226256408972078
CET1	14.0	4.655976787558132	0.07743393903632159	4.5132756635198366	4.6047839759811175	4.668553606341919	4.701783006125965	4.7843816148714895	0.016631083566233263	0.0002765929405870341	-0.4851713124763668	-0.4424647651467412	-0.053788717932371895
FOB1	14.0	4.476193786064559	0.14054100089919944	4.26355683282067	4.410296611444908	4.454594164894123	4.566443270484024	4.685354368316106	0.031397434431176	0.0009857988888599964	0.45388406736254494	0.7512771956599964	0.8273217091502916
RPS9A	14.0	6.313729551409184	0.2493416967633331	5.748043898116418	6.183016689253621	6.330889683550632	6.460934336653162	6.679452462669548	0.039491982469803705	0.001559616679395283	0.2647473719545682	0.7774613255969992	0.8580581193973612
COQ4	14.0	5.1218361972414215	0.2927053348354316	4.476369413833178	5.088577716184717	5.191245036646731	5.315768249300642	5.511985253963229	0.05714851540802501	0.003265952813341272	-0.2788654730229782	-0.9613413230753287	-0.8580581193973612
THP2	14.0	4.100830474324753	0.1624207191437047	3.878223568676948	3.9935995177738945	4.075360330815853	4.169841780550483	4.437101602749775	0.03960678700585619	0.0015686975769272585	0.44245908500094067	0.8463826890199636	0.7197442732855478
RPN13	14.0	5.893476392050775	0.10930088900977547	5.615430697619023	5.877911588827019	5.90853051915396	5.966620481520923	6.0082480593182055	0.018546080740596917	0.00034395711083673984	-0.024081663509823385	-0.03100005071637928	-0.04866598289119362
YPR089W	14.0	4.926015774725621	0.11225667610566796	4.728967001407092	4.832358857733751	4.950163120020716	5.012808499606113	5.076396920700564	0.02278853362216865	0.000519317264648711	0.34566468504691245	0.45700338504688115	0.668516922873765
RPL36B	14.0	7.2614226734081395	0.28805120898601266	6.657241962959827	7.117665384284381	7.239990217780933	7.398524447668441	7.773307328958658	0.03966870156737704	0.001573605884041622	0.2412906157528127	0.8185823198579021	0.6941305980796564
MBF1	14.0	7.533979732289308	0.21947156256837694	7.095602004787847	7.405213976341869	7.574789337149033	7.6651205642087215	7.975021625911221	0.029130893679971098	0.00084860896659378	-0.15428505045542626	-0.3987992462602705	-0.49946666651488186
YBR085C-A	14.0	8.367574591247442	0.4735832601022039	7.444885978375471	8.128662741511883	8.482686370850978	8.698871470578482	9.032953709006732	0.05659743512744736	0.0032032696630056117	-0.13290694601004646	-0.7413038366049458	-0.612166837420804
MDM35	14.0	5.456232498548142	0.17502250769463093	5.246795130148183	5.315721149028028	5.438731900438441	5.5507081133693035	5.7319527794519685	0.03207753843722806	0.0010289684721918437	0.330527018073092	0.6813230687316356	0.648025982709052
TIM9	14.0	6.539852418623667	0.19623699308883844	6.278778333834008	6.413325975474014	6.489150578804575	6.593821682083876	6.977984958861351	0.030006333557315523	0.0009003800535528798	0.40445263333715087	0.9347614084108942	0.7760943587385088
MRP10	14.0	5.790473797950979	0.192697977156211	5.479808437342939	5.631363666775323	5.787537448127188	5.951813598425653	6.055657573680805	0.03327844730502006	0.0011074550550329966	0.26685286357115323	0.6056214510934739	0.5506940169266648
CYC1	14.0	7.4781557359132105	0.3967359521744184	6.667320374715755	7.2814809045622395	7.439716176866813	7.696330338632146	8.196366915824148	0.05305264642579287	0.0028145832927801927	0.12693453035404473	0.5931077033475906	0.5916758972560909
QCR7	14.0	8.37382653615414	0.15914678422833822	8.156828881463959	8.228329210950918	8.375770253333467	8.50749755905695	8.619166412755108	0.019005264026095984	0.00036120006070161805	0.037804950044202756	0.07085961075033216	0.315048205032464
CYB2	14.0	5.836271430974027	0.7241438327511992	4.929630800128065	5.2532915973601035	5.641387034727006	6.3917999680184945	7.061225850512666	0.12407644869086312	0.01539496511973639	-0.0364488655247251	-0.31085730530077604	-0.41750290585602945
ADH1	14.0	7.44836414915378	0.33605682334746234	6.643745998362609	7.323920562572703	7.439830122464281	7.583271695237171	8.174588378758353	0.045118205369381985	0.0020356524557537292	0.010064167706199318	0.03983298100299807	-0.058911452973550174
ADH2	14.0	5.684890228405893	1.9853937776191755	3.560354181193246	3.9024608348077283	4.693512777554043	7.869982895637064	8.43830322916081	0.3492404774499757	0.121968911089487	-0.024235720546126764	-0.5667020958791759	-0.7556034185737956
TDH3	14.0	8.500322225769192	0.24689682941135102	8.103440922980207	8.30121605366347	8.489890566072102	8.67966216073765	8.91424729382029	0.029045584726525984	0.0008436459921057997	-0.12484108626489913	-0.3630155911944499	-0.519957606679595
TDH1	14.0	5.876380156335196	1.0867409673506698	3.9351695138284453	5.396766103841784	5.965235435304166	6.693051664141849	7.588110381882491	0.18493374125550377	0.03420048865475761	-0.06652178312547045	-0.8514166668592859	-0.8068307689855786
COX5A	14.0	8.172649882274012	0.19845322738709353	7.90491180508367	7.986030560978479	8.187725735364829	8.280517287568417	8.523860348611315	0.024282604815547854	0.0005896448966280679	0.03062212102122021	0.07157241325847764	0.26382085462068117
COX5B	14.0	5.045115915976735	0.34398979410398084	4.455572083151285	4.76077698666208	5.16501852060809	5.328715154734662	5.430881679320567	0.06818273352543662	0.004648885151000699	-0.049723436342367006	-0.20144612537302145	-0.053788717932371895
COX6	14.0	6.748619237709273	0.18796942732929414	6.3591544993373645	6.65627296195159	6.742947924815526	6.835763937431372	7.119469445289787	0.02785302010802106	0.0007757907291378255	0.08593563055246775	0.1902447638821139	0.4226256408972078
