log-TPM	omics__bw_glc	cra_crp__wt_fru	rpoB__rpoBE546V_lb	42c__wt_42c	42c__42c_ale1	42c__42c_ale10	ssw__wt_ac	ssw__wt_glc	ssw__wt_glyc	ssw__wt_xyl	ssw__xyl_ale1	ssw__glc_ac_glc2	ssw__glc_glyc_glc	ssw__glc_xyl_xyl	pgi__glu4_delpgi	pgi__pgi_ale2	ica__arg_sbt	ica__cytd_rib	ica__gth	ica__no3_anaero	ica__bw_delpurR_cytd	ytf__delyiaJ	ytf__delybiH	fps__fps_serB_ale4	pal__lyx_ale2_f6	pal__5drib_ale10	pal__tartr_ale26_f10	pal__tartr_ale28	efeU__menFentC_ale29	efeU__menFentCubiC_ale38
b0002	10.2134690511185	11.1980396962424	8.163974953294606	11.4997062351991	9.3416961295742	10.9366005357526	7.04977391832961	10.4457758910164	7.67801781870369	12.1161768852179	10.0416812948899	8.38383975233281	10.5356058600487	10.1039024646994	9.84608826436049	9.78398075316896	12.0002954705431	7.1628622237809445	8.319210586433083	10.978579266008751	11.3554708760703	10.108921031126895	10.9973294579848	9.63722913687581	9.6272868001818	8.43339590864205	7.9071664912495	8.134837757499765	10.27394633129485	11.5245860691176
b0003	9.643784116909476	10.18202916952915	8.127385778722225	10.7703974019362	8.80713394754619	10.8731132502206	7.26520550660544	9.78707537704232	8.38443960309396	11.8839051312064	9.69796042318168	8.01226272589398	10.1876500319734	9.70865866995244	9.25332968776936	8.9901925369667	11.46228560088335	7.80590400593802	7.711763399815805	10.4592896700896	10.6899824935171	9.36961628476797	10.34601101825795	9.083918679212834	9.25053390544834	8.29881554602661	8.026256277591685	7.992993206652084	10.1385756316468	10.69424818039645
b0004	9.876957274609076	10.03773962141304	8.06542793846107	10.7850053427226	8.99682303862912	10.3562360382576	7.37195118355957	9.91662143636897	8.74575423611205	11.9927696226396	9.49761579018914	8.47284190165461	10.0750007205996	9.85032724355481	9.27393110990136	9.04082489087187	11.58299817165865	7.978095208472094	7.557830898297166	10.5939794843734	10.9897158031057	9.35534031318356	10.279033426050951	9.234281146294165	9.20381359868935	8.55006190428267	8.090675593442326	8.173351979576156	10.45471039397545	10.977106113615399
b0005	5.90934877318758	6.05880232521745	3.848184016804745	5.45577205676328	4.74964627544379	6.10569917729877	3.70723308290693	4.96897416200087	5.92517453634988	7.24450569541342	6.81539451684582	4.97696172887821	6.59052028450631	6.58216684948485	4.38157612473523	4.69040165748394	5.89148687351756	3.16185426717652	4.999831988185245	5.373674101498245	6.164810032650955	4.63918825065383	5.451972876684691	6.195112458828435	4.80738409760073	4.67790157008291	3.68466678230136	4.050592883128555	5.84233231057323	5.8412911062867945
b0006	6.876792017747929	6.55546796864561	6.963816430785499	7.31660152898584	6.65831667531519	6.84806744899057	6.59541415802206	6.9965024836128	6.18697027557468	5.28592728503855	6.94265856414467	6.55353019504219	6.63385193144592	6.66296561141711	7.26033063517542	7.55212081053243	6.149227054288545	6.193034559547205	6.235536045940025	7.116259373619394	7.199466444120645	6.71347049664409	6.748590295085441	7.503775184248845	6.39823600647602	6.5460937334779	6.635714959160195	6.67550771604527	8.346838774874515	8.081481650157205
b0007	3.415858052999395	4.139465500282645	3.8612547335214	3.64098681339184	6.24033167750185	5.81591816850355	4.00538678159807	3.50137960602825	5.43122931448691	4.76473936616485	5.00725829669136	6.04079814197502	5.67808266964572	3.46370742870486	3.35221810669278	3.56065896265678	3.55942316819334	4.3816386367606395	3.862914568069455	4.00676928293573	3.30454355850342	5.2474480815222	5.209579154350095	4.1847193236758695	3.8299290318942	3.85164337264383	3.099357828377915	3.47223727503393	5.998828045504445	3.4056811061268
b0008	11.26832671175135	10.857157211653401	11.381942881879699	11.5478663847373	11.2068233384464	11.2646052434549	10.6125024406072	10.8126280118695	10.4976519121314	10.8092984186884	10.7557258927709	10.6649210591024	11.060865803213	10.9245497404041	10.8061908572542	11.4553968661835	11.384616700293702	10.352785962498551	10.41068590135195	10.3798767992689	11.772949991460749	10.93843155570085	11.252610164446601	11.38021278457585	10.4255477885614	10.4559622766287	10.72876498999485	11.0510142136061	10.980506397104449	10.74608165384615
b0009	6.278071276122195	5.80399972377083	7.465227262823965	6.64668081706378	6.18616752967753	6.53527066071173	6.14447792377481	5.91330158938176	7.20113585713244	6.36798233614712	6.28795781906294	6.10324237021222	6.62823630576669	6.21286733997834	6.35918003712758	6.78909534037496	6.580511645174164	6.342099842790045	6.63749109202702	6.940181411159536	6.56421623920376	6.155943960377655	6.313848093579395	5.55124175519037	6.25806263319253	6.57156566021878	6.217198948019455	6.045726910559465	5.73495502376395	5.9449277657459305
b0010	5.753682536180625	4.954139555450245	4.971170367163525	4.90353684282899	5.45755306473655	5.38744745602068	5.76382893895713	5.24317634426039	6.47525008714748	5.85094280060941	5.3573802099344	5.21605333421559	5.12299774883024	4.62101698801154	5.06328699774361	4.55409036057345	4.689707457504105	4.90101256645003	6.343095653075315	5.31461972040216	5.94213740152271	5.0528605398361695	4.8273099294166055	5.6338125971935	5.76367802049172	5.36902499232643	5.117773761731675	5.30917421284718	4.8031483886733195	4.82560574808455
b0011	3.5001103816341548	2.470590658543285	1.26872017859638	2.88440392441565	2.15528871755205	3.15099888416771	3.26568684455114	1.10351424134831	3.89126534656561	3.40630363696133	3.8695476528181	2.28331563572908	2.89335434419365	3.27904391111299	1.94970265173603	2.25145131080125	1.77868303359625	2.82576341745769	3.439479224864245	2.484037055233765	2.0472298677129848	3.2750841858788053	3.049786746156415	3.71383901715817	3.61510819151726	2.88893893946062	3.59130210335708	3.13599413076631	1.602900516308505	2.90714946527144
b0014	10.563652277279399	10.2373793826239	10.26968148897615	11.6322231451798	8.82138515050907	10.4363582667758	11.2452737052071	8.76566880048772	10.5374145394219	10.1968795096005	9.59982144556076	8.85688545986473	10.2746308092082	11.2108181062731	10.1432234202006	11.5551746203156	9.779736243505065	10.9004694396905	10.024795565486539	10.942973989120649	11.30251568101485	10.45786312522535	10.7196909975839	10.34509639362875	10.3171996096756	10.5523895531491	10.24147912346775	10.43320924120995	9.628952096217166	11.1130883431117
b0015	8.11087864385951	8.16685769622979	9.064011972747114	9.24472451909738	6.54209502168796	7.58022334624247	8.51268751711432	6.75037222988812	8.59582347083659	7.81638730371479	7.96406706544716	6.36317588331694	7.67028154999092	9.13541797655595	8.57344394840677	9.64796780048052	7.167920232423224	8.050140438465334	8.95846843126466	7.799772659651645	8.49991112749391	7.37575316336226	7.20569407514851	7.456410422765336	8.52232729594976	8.680008485246	7.922705047523511	7.955942819225755	7.307682648006395	8.13100325428399
b0016	6.3505559259604	6.573666198703711	6.56087103603504	6.81314985327476	5.28431085792687	5.80116361785237	6.46883660247274	5.73740784541066	6.2986010689335	5.89025005555264	6.02437871867575	5.02521284989031	5.45187698212658	6.33143136707104	6.28488600858964	7.07676121358576	5.501414180207875	5.570300578936836	6.461259646240075	5.8681756758544505	6.504319380591	5.8061451732179545	5.511475661683081	6.09527160768011	6.48176307651906	6.85468510292291	5.98965190737861	6.228125404064739	5.0676519989377855	6.006348754594275
b0018	3.41477203440191	1.5047431162715514	0.0	0.0	3.05596250215357	3.76236291570754	3.05320015439772	0.0	6.73484150718271	5.17158804789159	3.11941052540912	3.37325535259483	4.51024832218852	2.46969297604115	2.90065269428265	0.0	3.045788942965925	2.746055262833695	1.818119272768865	3.249278117128345	2.14750740050873	1.736668416184675	1.664126284434362	3.185095457226595	4.06195154642191	2.9094920526235	4.07020098360515	3.371391755359205	2.552971682778005	0.4768043365250205
b0019	6.013602824565525	5.41251195003929	6.619704308416409	6.24857175148527	5.34523614465703	4.32322418512354	8.17466226964679	5.670427053429	7.50670091692695	6.94349796507044	6.63861932753621	5.97501079418659	6.73067398459628	6.31690495626727	5.74878338004921	5.91395610991119	5.958506683971185	7.203872602973255	7.323092831163001	7.0902481779717945	6.14698302899467	6.57344327756013	6.39711031661742	7.2077952017526155	7.49597608582726	6.59548696582643	7.0538818448568055	6.3174436035328405	5.36193203014165	5.99223334265755
b0020	5.8040102730098155	5.324362679208219	5.6625811465775495	5.56376485416032	4.7295981654262	4.61922484772941	6.35675853298886	5.92526878575249	6.64777436417976	5.90231577053734	5.81916317743796	5.61221559925486	5.51405245773841	5.56874944457332	4.97006081665654	5.57603738147553	5.01330059398963	5.909818640487025	6.374747038431355	6.13175435568046	5.385875153247939	6.34883879614298	5.949885584640224	6.603426185403135	5.96754885132265	5.72858737203249	5.2527710385898505	5.1033660290613	5.24350951811706	5.181184319618435
b0021	2.6697813507588997	1.8669819514817498	2.20940664286167	2.68330245311897	3.58556995148248	3.52408254104593	2.34115556141674	1.39313226244789	4.67193072033	4.58541091025591	3.41136642997067	4.56608368450002	2.10784658754175	3.25318839908186	3.38655237331907	2.66125991771822	2.78394145043334	2.316734396273335	2.14406659819229	2.3487262054263	2.029867244350755	2.14285378619466	1.68275492759065	2.057512549654795	2.72757512022451	3.86863604115665	3.318224586632075	2.6153359126542552	3.178975908824835	2.152683134062155
b0022	3.928135659357655	2.700487424307095	1.027170474703245	2.10289821849956	3.72911171630352	5.0838238406625	2.2349179971294	3.98424701969482	4.23726172130247	5.0622967197773	5.39251749717395	5.25110129246884	4.5627021129344	4.84104830835599	4.48211677807535	3.71556212397349	2.1981581571639053	1.92783738013513	2.523608687979635	2.997585731927765	3.095196239960595	2.829590964135455	3.1374866690348098	3.139833176769295	4.63931923241616	4.49186309971801	4.99643216677202	3.77081624429927	3.747230319930825	2.625977701453505
b0023	12.56814797062015	9.28169858758313	9.565816977051782	9.52790762431174	9.46091367804199	10.3997260861705	11.1410388013965	11.4032434559302	9.96816009973991	10.5155114338253	12.3313950749719	11.0736900197801	10.9154638989121	11.9408741096829	9.75704410369988	8.78121464477302	8.81093262163283	7.53133997812194	9.86342449692799	10.6111483710566	11.53759786925305	9.28596635956041	8.96781353792285	10.864662784977451	10.7534902109805	9.86541804902797	10.2398580944935	11.2677650099407	8.81182955917535	10.4368562317073
b0025	8.900400070938964	8.43104373898128	8.758543863440046	8.84510341280954	9.0122114435045	8.40756005955805	8.38707924164869	8.47902261590997	7.74145778398658	8.62670995904955	8.52840974445717	7.7876190600532	8.12127284240516	8.03078415118047	8.9532876766767	8.96613677630062	7.44863939520056	7.30030868758338	8.152479307461965	8.548031191505366	8.846964812066	8.27795878474928	8.109886947873715	8.818484213839685	8.18539960473185	7.76278326532054	7.758395299545494	8.0778269484398	8.537863652903585	8.230356445016655
b0026	9.217038799769595	9.96427640019823	10.0168983757513	10.4620321386185	10.17126590788	9.59863396473678	8.72637560021014	9.68237181644853	8.90084277437015	9.26346986731074	9.28681742916844	9.15464609606562	9.39289004690703	9.31110631920061	10.0336333301521	9.9093286631775	10.23144430915845	8.36494057851617	9.467403826627555	9.377455486457709	9.799360259268244	9.189699084861076	9.369301220917606	9.187263705787036	8.90844807153828	8.98281823363469	8.744040158232536	8.7206580112959	9.875171423953326	9.566771729426
b0027	7.83322889219979	7.29704735556611	8.13821886270479	8.17974199881664	8.49752936563549	7.78950108364471	7.29754238592914	8.15902000664055	7.51200228840288	7.64466348063351	7.73908426710021	7.25117585775617	7.57435177352365	7.29840397450945	7.67342749720091	7.57582044829288	7.970621768210885	6.104034809067025	6.782810806731501	7.33364923854632	7.927873504623875	6.8089599588078755	6.73853631240517	7.08171629565758	7.20899778824197	7.10535029508687	7.02406489173658	7.14418275370995	7.569683857613246	6.89639614219525
b0028	7.25651967566596	9.300756763735446	7.63631839506173	7.00589883610952	7.93092451059584	7.59419615226743	7.13993064499537	7.80800178440074	7.59220177284156	7.73439075125555	7.49901418171931	7.26140905710897	7.41437573084704	7.46110550973729	8.07843595194527	7.09455788734756	7.6147111312989	5.880427051430485	7.355656764231664	7.281833306259295	7.15470211166361	6.639519190118785	6.631444253897565	7.028139996898204	7.24907996075447	7.70898574563123	6.636200351909195	6.982996538372895	6.948277060969465	6.61010255571086
b0029	7.585803358488695	8.050874926590044	8.23480748295565	7.93411146301643	7.63543055844327	7.13059360459935	6.99106696463774	7.56619960548499	7.70644067557271	7.87716868530341	7.76466047718713	7.57483475038935	7.34092241643276	7.72979610811963	7.98873644742741	7.73872422089427	8.126120519802765	6.661847648404015	8.348936013701895	7.89832498475079	8.157323217747159	7.47135641708251	7.275231971021865	7.7912296048241245	7.07932893799303	8.01374789613653	6.94090086971228	7.30311659342223	7.46832119857871	7.74418324289331
b0030	4.24862239243755	6.8092545227876755	8.87445759838512	4.8532789939946	6.40245763172292	4.34793504870828	5.33051961713098	3.93989819380325	5.90375962689393	4.97991088989055	5.50101063018395	4.77136654150216	4.98049999438274	5.84456711452763	5.8790823092449	5.9352715608192	6.1445418906609195	8.29980344010634	2.41777232887196	3.68579407608362	4.819357741611305	5.006239154470435	4.77829190845049	2.76395645258317	6.6167841340829	8.21226091689382	7.142859401671364	6.6651630699433895	5.56030047124724	4.4768097471025
b0031	9.000817533090874	6.920216765240605	7.224995191406375	8.88056961385461	10.8178808904908	8.84117477732031	7.38333503725401	7.8173383261276	6.442287505154	7.0984756324625	8.08275885128722	9.54682312071372	8.72973472869502	8.7824203540877	9.28265537403755	8.7286166753224	7.7998705701210955	6.96773085629399	7.048946712785635	8.599841909956051	9.583513898879652	10.254457597052951	8.296217145822759	8.371766693435875	7.35029465632066	7.32873838667292	8.326149407161434	9.66131273138609	8.70298645989886	7.928200231265005
b0032	9.558231328216415	9.49031298841114	4.832430717968116	10.2937740467413	7.28708336621396	5.52725476089636	5.85062111466717	9.32729642393549	6.26142164207346	5.27268262689993	6.89262367137571	6.46932535970243	7.12378805450237	8.91654602345874	7.44176980822778	7.78304565177192	8.31593936113076	3.18758831830091	5.29175632755977	8.418019992876335	8.293119669223605	7.489303354018255	7.65125663249116	9.23853232991498	8.93768343818796	7.17005233353133	7.064064067360855	8.455042182789729	4.179405482519795	10.07651718717245
b0033	9.7674611682929	9.89802917753469	5.3661470412757	10.9086035863025	7.48528140528416	8.59563239283821	5.62270097796048	9.27262003727307	6.20472685503944	5.61021503758999	7.07866010270783	5.82406839996679	8.47700380501453	8.82525183578272	8.00735424013359	7.89857429554418	8.652913868418945	3.916622938510175	5.711019334091436	8.506252050653755	8.158315892177855	7.689088613268515	9.652951436508381	9.080674358461831	8.75345112994497	7.25555750851216	7.4072438223310755	8.37431199711025	7.94826710972228	9.87737917065185
b0034	5.689948791660425	4.750053254056855	2.2595485805775	5.24002666342389	4.96951379954513	4.14585092380708	3.50423747154935	4.04589197176956	7.04271269924904	5.48863151875083	5.31576087584968	7.51662005824134	5.42996959561565	4.34343808617053	0.65343641784059	0.0	4.354434322693335	3.714072029068405	1.9002629504193052	5.799346910148525	3.915984431779565	6.266913639506135	6.064938669341521	4.71593111488483	4.23901794119255	2.98617579707712	2.56100307287047	4.560293914564395	4.63538310717055	6.009468583577805
