log-TPM	cra_crp__wt_ac	cra_crp__delcra_fru	rpoB__wt_lb	rpoB__rpoBE672K_glc	rpoB__rpoBE672K_lb	glu__glu_ale8	42c__42c_ale1	42c__42c_ale3	42c__42c_ale6	ssw__wt_glc	ssw__wt_glyc	ssw__wt_xyl	ssw__xyl_ale2	ssw__glc_ac_glc2	ssw__glc_glyc_glyc	ssw__glc_xyl_glc	pgi__pgi_ale1	ica__arg_sbt	ica__cytd_rib	ica__gth	ica__no3_anaero	ytf__delyeiE	ytf__delyiaJ	fps__fps_serB_ale4	fps__fps_ptsI_ale3	pal__lyx_ale2_f6	pal__5drib_ale10	pal__arab_ale16	pal__tartr_ale26_f10	efeU__menFentC_ale39
b0002	9.568949288974695	11.6492919420788	7.493017171640879	11.0002296505734	8.145484555680465	10.5159346956398	9.3416961295742	10.9154276782509	8.0197178766677	10.4457758910164	7.67801781870369	12.1161768852179	9.95425331872086	8.38383975233281	10.3069975983316	10.0797769974589	9.81606071637681	12.0002954705431	7.1628622237809445	8.319210586433083	10.978579266008751	10.87481561532245	10.108921031126895	9.63722913687581	10.04619162905305	9.6272868001818	8.43339590864205	8.97078082536791	7.9071664912495	10.3443023234822
b0003	8.831855869711504	11.39272195893315	7.902192785953121	10.6390286822041	7.70950071837658	9.69441147318822	8.80713394754619	10.3725982416494	8.26764326943128	9.78707537704232	8.38443960309396	11.8839051312064	9.57709417533138	8.01226272589398	9.9523240991727	9.67269649587335	9.16302397534882	11.46228560088335	7.80590400593802	7.711763399815805	10.4592896700896	9.861151442029644	9.36961628476797	9.083918679212834	9.593370650774034	9.25053390544834	8.29881554602661	8.564640293556115	8.026256277591685	10.2657716923847
b0004	8.680002828767465	10.7176542887601	8.013111305426545	10.878996227829251	7.808035903052105	9.9000183015171	8.99682303862912	10.165121111287	8.30014431586613	9.91662143636897	8.74575423611205	11.9927696226396	9.59554609528706	8.47284190165461	9.75542559957625	9.73526691536863	9.13466172989731	11.58299817165865	7.978095208472094	7.557830898297166	10.5939794843734	9.682288222533696	9.35534031318356	9.234281146294165	9.94296471202987	9.20381359868935	8.55006190428267	8.875950363069656	8.090675593442326	10.712971156202101
b0005	4.576969201373094	5.4714902598287996	1.878805274483205	7.016683715293585	3.9227638366933704	5.76176706382516	4.74964627544379	6.41627108055344	5.93820668361471	4.96897416200087	5.92517453634988	7.24450569541342	6.85992155392851	4.97696172887821	6.05760509503858	6.28011740151531	5.70524331426622	5.89148687351756	3.16185426717652	4.999831988185245	5.373674101498245	4.786873313024235	4.63918825065383	6.195112458828435	5.320881881149675	4.80738409760073	4.67790157008291	5.09424448585729	3.68466678230136	6.245880524171055
b0006	6.27317387189647	6.973928119676245	6.617728983503775	7.01484365736256	6.84932795093548	7.00723421718489	6.65831667531519	6.74268429501391	6.15704397962619	6.9965024836128	6.18697027557468	5.28592728503855	6.71864183734617	6.55353019504219	6.59704089330766	6.89556974934875	7.15975727875105	6.149227054288545	6.193034559547205	6.235536045940025	7.116259373619394	7.0096945421686705	6.71347049664409	7.503775184248845	6.81057190820038	6.39823600647602	6.5460937334779	6.65564091656097	6.635714959160195	7.16194255691066
b0007	4.061520318144311	3.20575499283538	3.991544904933315	2.9017244919962	3.21569108670629	5.60926496718096	6.24033167750185	2.97024227413276	5.43363099670711	3.50137960602825	5.43122931448691	4.76473936616485	5.02554680747224	6.04079814197502	4.36639361881564	5.02873293083196	3.2587182841853	3.55942316819334	4.3816386367606395	3.862914568069455	4.00676928293573	3.6328892726175	5.2474480815222	4.1847193236758695	3.356768577423455	3.8299290318942	3.85164337264383	4.092745734020685	3.099357828377915	6.10541051452784
b0008	10.33141555568525	11.100890074919551	11.44636847029765	10.97771626936675	11.556150708760502	12.0242478533985	11.2068233384464	11.4235404855762	10.7636686723574	10.8126280118695	10.4976519121314	10.8092984186884	11.0000499431614	10.6649210591024	10.965031448743	10.6343323658418	11.566354356578	11.384616700293702	10.352785962498551	10.41068590135195	10.3798767992689	11.2355481942511	10.93843155570085	11.38021278457585	11.10166704364905	10.4255477885614	10.4559622766287	11.118763178742899	10.72876498999485	10.97467318799695
b0009	6.04190624013869	6.3913991943909245	7.15538112276203	6.74687349667375	7.4020624650340405	6.80059818212631	6.18616752967753	6.33141807029087	6.59561679780339	5.91330158938176	7.20113585713244	6.36798233614712	6.88812846826464	6.10324237021222	6.26157803380351	6.35916949999604	6.66399617686809	6.580511645174164	6.342099842790045	6.63749109202702	6.940181411159536	6.16327939255712	6.155943960377655	5.55124175519037	6.17287400892282	6.25806263319253	6.57156566021878	7.02998584180406	6.217198948019455	6.7013168784492105
b0010	5.017699406221305	4.60947345359639	4.262386775704165	4.915699340003285	4.63688385006349	5.2373898646449	5.45755306473655	4.98913298494772	5.27196222013526	5.24317634426039	6.47525008714748	5.85094280060941	5.69561847631359	5.21605333421559	4.74499463137785	5.31508861723105	4.27316080459109	4.689707457504105	4.90101256645003	6.343095653075315	5.31461972040216	5.660769100227825	5.0528605398361695	5.6338125971935	5.434828202362725	5.76367802049172	5.36902499232643	5.710630800155824	5.117773761731675	5.38024729491525
b0011	2.398134564081535	2.538120260429695	2.94390742555335	2.180911400451365	1.546398516650505	2.60255673731323	2.15528871755205	2.78624069361401	2.47786391139801	1.10351424134831	3.89126534656561	3.40630363696133	3.87900958459369	2.28331563572908	2.80353513958238	3.16886020671021	2.36781975161808	1.77868303359625	2.82576341745769	3.439479224864245	2.484037055233765	2.73972487366812	3.2750841858788053	3.71383901715817	2.729316629631695	3.61510819151726	2.88893893946062	3.742231932166665	3.59130210335708	2.63458820726835
