Gene	42C glucose	Acetate	Fructose	Fumarate	Galactose 	Glucosamine	Glucose	Glycerol	Glycerol + AA	LB	Mannose	Osmotic-stress glucose	Pyruvate	Succinate	Xylose	Chemostat u=0.12	Chemostat u=0.20	Chemostat u=0.35	Chemostat u=0.5	pH6 glucose
carB	2.8345440602896543	2.6003281698556076	2.8558359844420753	2.7577416568318696	2.6462510985410956	2.682180031173656	2.945282545576149	2.7897645075960655	1.9804696512686222	1.6940426676305669	2.7526148116410956	2.6298398855671037	2.6458977877222964	2.7694002242084035	2.737423481609158	2.557264963184227	2.6160733327367542	2.673579050169498	2.82084642968865	2.724593202172269
pflB	3.034666451821715	3.1717768068788343	3.17035747694923	3.095197026958501	3.183869926655739	3.125089247534629	2.9616091605174706	3.102649815665521	2.9615355121913383	2.9240568102300846	3.1934505014708745	2.953341363892231	3.196031362341243	3.1754597616651856	3.0862478038848136	3.1973544090447295	3.2038537086035332	3.1795933340238034	3.168733483319779	3.1752305541750894
dnaK	3.9319590995403635	3.5715923238280207	3.5609692157582087	3.586167402188101	3.464950310356078	3.5757631188591916	3.5670710966613672	3.582496498302613	3.7381231500211776	3.8564491287029687	3.604199796699865	3.5940710432028795	3.5011692888533226	3.6470083035267895	3.5742998856119743	3.491740457969863	3.4883219032427983	3.5238041493154575	3.5338270190836187	3.7941821292948603
infB	2.8819820075279203	2.7015030954668022	2.836493157554157	2.7630120291011604	2.6851821051636318	2.7618596745307213	2.7813428776755282	2.785808613653949	2.792430055408129	2.9116751157417284	2.791353240334371	2.635804389688054	2.803966643057765	2.7591637014421946	2.7941281444608954	2.8165625946681807	2.8339165216487947	2.865080226873921	2.925988328238206	2.6962728000712985
ilvC	3.810660009335708	3.6133258613458974	3.8419493208951527	3.6596390648823354	3.555147522725761	3.6562190500868805	3.820372241088457	3.797909023863915	2.468323885342781	2.6142558476759823	3.7241456777855766	3.8976528442822445	3.5278996320731246	3.74728355683465	3.7756771437903303	3.3415710496197857	3.5309170741350653	3.6525270764776123	3.772774287870028	3.55704834035463
ppc	2.8434421125973723	2.5501024517711084	2.997962075209041	2.521631656172721	2.6432789864947663	2.8510545583489186	2.8576606040555395	2.674088749655195	2.324001439363565	2.18824591158019	2.7693352769191084	2.7578055988134342	2.565605075378214	2.5233184938075417	2.8614568105735256	2.732593917715314	2.795265260456418	2.8591909596315324	2.975928037666064	3.012576592980095
alaS	2.752201980362311	2.4743954649072255	2.705313875040603	2.538723851427074	2.5245469111917322	2.556039789978166	2.587088836362091	2.567515377341512	2.5451300121369114	2.592605144287191	2.596614377680768	2.511990961835936	2.6456036419757423	2.613628873944473	2.6863795046438357	2.525328864462594	2.543833124716365	2.559458851904897	2.5806863758714518	2.6132411688416575
fusA	3.826452945929759	3.749681776117746	3.869286423290088	3.8213422065555194	3.7341392352930964	3.8292944544262544	3.8887976289212465	3.829040483272354	3.9351074583228054	4.017594202365178	3.7837962518448474	3.74827876229982	3.8361917629030304	3.8674669629187517	3.8519355718779	3.6193142023768847	3.655472669172118	3.7012934517575564	3.7341924795077706	3.7360455854230237
glyS	2.840228430616785	2.7121331577252747	2.803068980687164	2.7599720245380936	2.719266921287865	2.737840483327834	2.7618693804944012	2.763136214587301	2.7678414244988714	2.8927752142493297	2.7927135060250103	2.7060339535306808	2.8095390028995513	2.74203929147461	2.827166772953599	2.7189933142922604	2.696482847847314	2.7375586875182716	2.771799245823076	2.695850474351518
maeB	2.170547130790044	2.597200056900573	2.3835068645963307	2.4866224235093335	2.4164292581127786	2.4522891580801813	1.9684420948781662	2.389031744949756	2.3796250745154413	2.4732316125056073	2.5494855173358184	2.0153916808503682	2.478689263353751	2.51611722229657	2.2943820078191677	2.955370870758403	2.9234743506989407	2.8825691034616376	2.7953674787801894	1.9954128932775663
rpsA	3.664040338889187	3.450659169524026	3.691380366228804	3.5896855974319264	3.4749019695943093	3.5440043742891674	3.6739592851027516	3.6442131389046994	3.677053592844009	3.892208991011569	3.586755552033227	3.463346702827598	3.5392761573828335	3.6058535623303363	3.616076256342536	3.44681334595809	3.465795687158184	3.4843523022057465	3.6048446948064705	3.506881434651229
leuS	2.602227531372648	2.500068817572168	2.5427280901236005	2.533017634203674	2.4635823064514857	2.49832108098515	2.563751256111449	2.5120653448508294	2.527847553463086	2.510014515509988	2.4835752250605316	2.404666088555012	2.4970197197152983	2.521124460656597	2.534405987867608	2.5381737774802886	2.542892788055186	2.537408608092209	2.5538410067937884	2.512465016654015
thrA	2.9332685066886235	2.744060856319083	3.2723230322313253	2.8939890874334098	2.739039010608059	3.051480853540628	3.0535574500455396	3.0047353377906654	2.3991564761112483	2.4143991619552674	2.988894473146433	3.085234369707397	3.38713307005049	2.9348362966183568	3.276780468219784	2.674871463797873	2.7777582150321574	2.916357701400056	3.243438282340311	2.9838073288199616
sucA	2.5692820721537837	3.0428060419120873	2.8273057235631	2.7803682549124242	2.6346515088969094	2.856143409185844	2.529385163265923	2.7742447458130117	2.801461955951974	2.8641486467901984	2.8268505050983004	2.528576934082129	3.0021592356503874	2.887080249236498	2.813954086027295	2.841504693270947	2.833137457692021	2.8508873229582994	2.9048282568028494	2.641101906233449
ileS	2.7486520455963994	2.5498078614480995	2.5938537163525144	2.5789612661226555	2.554852933910969	2.544115962588575	2.633136893670609	2.5931976819610196	2.5224928800031026	2.5403109034754383	2.557520320428194	2.5972288168498108	2.6627833008873956	2.54880042447595	2.697952516852325	2.455504811045343	2.4980382997190165	2.535677519960164	2.5603810551704442	2.5671860745870694
aldA	2.5065509007264195	3.656055161508846	3.2653105813378405	3.819229957696732	3.8790680790243486	3.568888114916055	2.8416726141707263	3.549596393643108	3.188309699535544	3.130290467761651	3.8317646505414453	2.53424120948064	3.816323469779393	3.785574560440961	3.0858871720238823	4.0733312542733	4.020032360500396	3.892670697816108	3.6237406364269633	2.5313937213628015
secA	2.10225023415003	2.074181154025723	2.174968301298995	2.18248126855883	2.067948556666214	2.2019545226719908	2.1464379365107233	2.1281316556186285	2.1985314364814226	2.3337188870745535	2.1971424951340977	1.9229336253989848	2.2769272814084385	2.1438308092289966	2.1276391691788525	2.3841086071609765	2.3463480695791494	2.3230916285192706	2.3144777211019454	2.003258659028879
aspS	2.5608071382910964	2.597537041440408	2.701487820518807	2.587582020884066	2.567586197157	2.576683065117921	2.6537965743734446	2.5986494176396975	2.554530477728549	2.719006958560087	2.653792535076408	2.5802149895738733	2.5848250732783433	2.6470942833107682	2.746925313339316	2.680426792398201	2.647956933231606	2.686618560838425	2.7112432467992713	2.664377464573683
