Gene	count	mean	std	min	25_percentile	50_percentile	75_percentile	max	cv	noise	lin_slope	lin_r	spearmans_rho
SAL1	14.0	-13.672911093814621	0.1640132549983378	-13.950916330905308	-13.794489142911178	-13.693275006768635	-13.555308594267956	-13.33626054208286	-0.011995489027390402	0.00014389175700624355	-0.1874962977492931	-0.3621795048189681	0.06915692305590672
CET1	14.0	-10.495845212440281	0.1577401728267082	-10.87635990364537	-10.57313945080849	-10.472610477625192	-10.389732831689102	-10.297530580140084	-0.01502882041741102	0.00022586544313879034	-0.18306619187529194	-0.34009690995701036	-0.23820717941478983
FOB1	14.0	-15.232962930836935	0.3499746089487013	-16.23409669173294	-15.298669162627132	-15.188141611288174	-15.082633540587787	-14.79205354259137	-0.022974821808318606	0.0005278424371239921	0.12981114828043014	0.5350578680912873	0.5455712818854865
RPS9A	14.0	-5.946708472365876	0.20982607431718694	-6.1429114187741725	-6.078018017008223	-5.997633129961065	-5.966020324212762	-5.432274253612568	-0.03528440569976493	0.0012449892855856044	0.3925026100326758	0.9699609063713052	0.8580581193973612
COQ4	14.0	-12.873876939823688	1.64572084662164	-14.55858498289698	-14.013433200474047	-13.84485824185812	-10.91194517906629	-10.512825257294326	-0.12783412909057826	0.016341564560346626	-0.01601942083541235	-0.310495426324516	-0.23820717941478983
THP2	14.0	-11.503371060423987	0.1776268280532495	-11.746975123614488	-11.623533262100707	-11.507434450204325	-11.427574049666722	-11.169700149921413	-0.015441284743422212	0.00023843327452744356	-0.2522960798558299	-0.527802313260795	-0.5250803417207733
RPN13	14.0	-8.835163749164803	0.5653164300158398	-10.475561279142019	-9.088042777998895	-8.610093614689365	-8.534526596292617	-8.226315759141093	-0.0639848276801072	0.004094058173253012	0.03946936852959897	0.2627870817751432	0.3304164101559988
YPR089W	14.0	-15.776609401375294	0.26348964587644264	-16.390013775527375	-15.931817598019457	-15.726741241867423	-15.594918182171968	-15.46722030864408	-0.016701284742048152	0.0002789329120349704	0.15928726733935245	0.49430709236875603	0.6992533331208346
RPL36B	14.0	-5.376276463616761	0.2020359703982101	-5.70849108953495	-5.495215806484548	-5.416996559462303	-5.292604420414367	-4.913052903385673	-0.037579163156035926	0.0014121935035079681	0.3810814249656731	0.9067732600398397	0.8068307689855786
MBF1	14.0	-6.963463288319283	0.1917045222837482	-7.228642122386964	-7.103935105831021	-6.956269852631664	-6.863890684174691	-6.560446075453026	-0.027530054277060522	0.0007579038884978983	-0.3063446485261893	-0.6916635387580556	-0.7197442732855478
YBR085C-A	14.0	-16.464579704932163	2.1529723410323602	-20.23991976135483	-17.22944117352575	-16.779305552234618	-14.462874939372188	-13.604882774930788	-0.13076388098673492	0.017099192570712973	-0.012384107554937194	-0.3140186136728549	-0.25869811957950295
MDM35	14.0	-8.007576334902065	0.2451274081375623	-8.391025141070957	-8.165322427238305	-8.028439254316234	-7.849808151891406	-7.599992304945343	-0.030611935233029568	0.000937090578711197	-0.13774270112573087	-0.3976607201615326	-0.22796170933243332
TIM9	14.0	-7.344776985540828	0.49876794189126067	-8.208975025412117	-7.619872892924645	-7.422175858350419	-7.042982503590781	-6.44125747108516	-0.06790784020715017	0.004611474761599841	0.04615817799218519	0.2711436358658522	0.4021347007324947
MRP10	14.0	-9.204604232827782	0.2697974054714513	-9.590780020741851	-9.430692662187788	-9.222733283131848	-9.028721539147698	-8.756103684323888	-0.02931113588884482	0.0008591426870943266	0.013419352063675966	0.042640426715783046	0.09989333330297638
CYC1	14.0	-8.519697215905959	0.27137437085783955	-9.049146392440441	-8.594075416434903	-8.524200350344813	-8.489296509813272	-7.79273058986655	-0.031852583956997166	0.0010145871047375532	-0.020855562869093992	-0.0666565714237363	-0.08452512817944156
QCR7	14.0	-6.388508995132178	0.3392379477185132	-7.086424446149152	-6.5135335415043	-6.423138425459191	-6.1517850711461115	-5.969190686346065	-0.05310127104415141	0.0028197449865044336	0.001125091214414996	0.004495152053803861	0.16648888883829396
CYB2	14.0	-10.744498483639507	0.6388197206966177	-11.624009793821537	-11.191058884692602	-10.862198207760875	-10.347068648838048	-9.402315933653012	-0.059455517786087396	0.0035349585952117544	-0.053590074551239535	-0.40319478110080187	-0.5609394870090212
ADH1	14.0	-4.520027082670291	0.3858704551217706	-4.96993207087372	-4.775908864918863	-4.63831824039076	-4.3786393337442036	-3.615951583161183	-0.08536905820790135	0.00728787609930405	-0.10944738760456957	-0.497392409513946	-0.6992533331208346
ADH2	14.0	-5.067333099757911	1.1130791078426965	-6.230428254551987	-5.979681202294595	-5.41282095695199	-4.4091085936995995	-3.0685935374669846	-0.21965777380923968	0.048249537594831096	-0.03874903568759319	-0.5079712776791298	-0.6787623929561216
TDH3	14.0	-4.02678295103494	0.3660859016747053	-4.890026160101724	-4.061808069643091	-3.90919028224875	-3.815393219474207	-3.530477761494218	-0.09091274750247366	0.00826512765844853	0.05245112448747693	0.22614658488928438	0.11013880338533294
TDH1	14.0	-4.333123241208659	0.38114475953177074	-5.216185256537156	-4.40425469565012	-4.2006638412633475	-4.165617928757857	-3.7760060070257286	-0.08796074755202582	0.007737093109911217	0.025046501886728776	0.1124318244177652	0.06915692305590672
COX5A	14.0	-7.037339923981067	0.35937927532480585	-7.748189076504307	-7.128107313084363	-7.053066456888354	-6.7710320848468655	-6.550665805449289	-0.05106748845542518	0.002607888377144984	-0.10548478902565628	-0.4464728899598371	-0.012806837602945691
COX5B	14.0	-10.03863597840244	0.5228980394875569	-11.159353520347175	-10.314505431659411	-10.003220401552293	-9.556271499538738	-9.466277729814736	-0.052088554721233304	0.002713217532946916	-0.030849619506105163	-0.1899848855903082	-0.04354324785001534
COX6	14.0	-6.481822905022321	0.3241881782357566	-7.083203973681978	-6.721375721874876	-6.441524584851786	-6.281214258858625	-5.810459084726712	-0.05001497001477244	0.0025014972255785863	-0.15281436159859776	-0.5834633371155804	-0.2023480341265419
CCP1	14.0	-8.915018594619784	0.44373402795241246	-9.851837094365246	-9.097514003953464	-8.812690960329382	-8.549851722525407	-8.457529298672783	-0.04977376359261954	0.0024774275421739784	-0.13595015162350638	-0.7104845799130923	-0.4687302562678123
SOD1	14.0	-3.190852087744367	0.20942500471788755	-3.651720887131141	-3.2890403474393612	-3.1820982357098675	-3.074767867917675	-2.7722879008841192	-0.06563294034288232	0.00430768285805235	-0.26446324111843933	-0.6522980440292138	-0.34066188023835536
SOD2	14.0	-7.022773764062629	0.5468332011661529	-7.768342432328287	-7.534286996471287	-6.894246749029349	-6.542226901671308	-6.308697834650874	-0.07786570086657803	0.00606306737144341	-0.06518225943081077	-0.4197942751975179	-0.2689435896618595
HIS1	14.0	-8.013265393663838	0.1716960493983975	-8.385289879834623	-8.070170079463393	-8.010687794969268	-7.890367970785181	-7.785437902035913	-0.021426477342702158	0.0004590939313173288	0.24552628066452245	0.49649000925675923	0.2689435896618595
CDC28	14.0	-9.358445045393475	0.15270467022411208	-9.77039897132646	-9.41351632748685	-9.32028397216218	-9.24991939926907	-9.2145878415924	-0.016317312276068575	0.0002662546799147382	-0.41445658851628375	-0.7453900541460228	-0.08452512817944156
CDC19	14.0	-4.749890501469993	0.40251600238966434	-5.547108384030724	-4.84286817097031	-4.572116275943635	-4.464913087875649	-4.325618952619088	-0.08474216453307586	0.0071812344497509	0.0668953647276854	0.3171256738222967	0.42774837593838605
PGK1	14.0	-3.9799973176444747	0.3062802725052218	-4.349816413899258	-4.278798277473101	-3.967043057007471	-3.69369483351144	-3.4685740289536775	-0.07695489420241393	0.005922055741704721	-0.18098706429291841	-0.6528580848300333	-0.740235213450261
SUC2	14.0	-8.706326956486816	0.853553338831804	-9.902977171030985	-9.268716329810543	-9.059041666389382	-8.234915784552038	-7.029821650876002	-0.09803828217085825	0.009611504771012821	-0.057095197397892615	-0.5739611149396241	-0.632657777585517
PRC1	14.0	-8.978295147773096	0.5227444664963075	-10.242945999092392	-9.050049430299932	-8.909646266270128	-8.77321749686593	-8.313365756044005	-0.05822313233108234	0.0033899331384427255	-0.15179701078723698	-0.93455505297885	-0.8580581193973612
CAR1	14.0	-10.697502650107369	0.7065353448536493	-11.544498805602537	-11.239759391106967	-10.963863212111018	-10.225748149561719	-9.401715932066356	-0.06604675576748355	0.004362173947409621	-0.06803495919350538	-0.5661327089458114	-0.7504806835326174
