log-TPM	count	mean	std	min	25_percentile	50_percentile	75_percentile	max	cv	noise	lin_slope	lin_r	spearmans_rho
b0002	30.0	9.793314897025283	1.4448968378235514	7.04977391832961	8.396228791410119	10.07279187979465	10.968084583444714	12.1161768852179	0.14753909713068028	0.02176778518213631	0.044448359595097985	0.2202422602737559	0.28101012522313695
b0003	30.0	9.430157241959808	1.2068686077249966	7.26520550660544	8.320221560293447	9.506700200838722	10.306420771686813	11.8839051312064	0.12797969076856888	0.016378801249218512	0.055292851878195465	0.22884269755578313	0.32194905082967473
b0004	30.0	9.512560714152038	1.1853791220990084	7.37195118355957	8.598984987240014	9.42647805168635	10.336935385205939	11.9927696226396	0.12461199015902152	0.015528148091392076	0.05324167308736225	0.21642979370738946	0.2876849500502899
b0005	30.0	5.293082028749672	1.0202517875770138	3.16185426717652	4.6810265919331675	5.412823489091467	6.0253953780005585	7.24450569541342	0.1927519320568733	0.0371533073116575	0.0773098426701159	0.2704893878603553	0.34887084429919146
b0006	30.0	6.814418877138725	0.5933001618227345	5.28592728503855	6.554014638443045	6.69448910634468	7.0863201511177465	8.346838774874515	0.08706540829375205	0.007580385321357748	0.14119660225635544	0.2872809247023467	0.3553231749654392
b0007	30.0	4.311132868481238	0.9663942621127491	3.099357828377915	3.515890496569522	3.934150674833763	5.158998939935412	6.24033167750185	0.22416248619430712	0.05024882021681293	0.14841786447321312	0.4918680330978286	0.45833797146449884
b0008	30.0	10.939549998449545	0.3858335099676733	10.352785962498551	10.680882041825512	10.89085347602875	11.261606473702825	11.772949991460749	0.03526959610060352	0.0012439444090997069	0.3820481038333833	0.5055057146404014	0.5235287606096922
b0009	30.0	6.359362172337698	0.41198778725955737	5.55124175519037	6.147344432925522	6.300902956321167	6.578275148935319	7.465227262823965	0.06478445103372858	0.004197025095741575	0.09157430211849557	0.12937966940478876	-0.03559906574481545
b0010	30.0	5.286283820740644	0.4838410545147716	4.55409036057345	4.916187520984304	5.22961483923799	5.589747714079262	6.47525008714748	0.09152763470936416	0.008377307915490803	-0.1731761165562275	-0.28734178788439313	-0.2118144411816519
b0011	30.0	2.799286473848875	0.7637049728199854	1.10351424134831	2.2594173920332077	2.900251904732545	3.374488705499245	3.89126534656561	0.2728212992684276	0.07443146133451294	-0.1399394430152706	-0.36649987995632277	-0.28457003179761853
b0014	30.0	10.370197650985709	0.7369359244167286	8.76566880048772	10.156637442550576	10.389152817419351	10.85527482916385	11.6322231451798	0.07106286198380041	0.005049930353328666	-0.07954016789027567	-0.20101307569457139	-0.10012237240729346
b0015	30.0	8.025738534880885	0.8051304339066019	6.36317588331694	7.487363653634619	8.007103751956247	8.560664785292516	9.64796780048052	0.10031854768348136	0.010063811009322923	-0.07320494995889057	-0.20212254994681383	-0.260318168258963
