log-TPM	count	mean	std	min	25_percentile	50_percentile	75_percentile	max	cv	noise	lin_slope	lin_r	spearmans_rho
b0002	30.0	9.661389509176916	1.3564923827113218	7.1628622237809445	8.396228791410119	9.885157017548835	10.498394994483949	12.1161768852179	0.14040344625613646	0.019713127720599802	-0.009127324780141343	-0.036444340978280684	0.07876293296040418
b0003	30.0	9.326774199282506	1.157675243517339	7.70950071837658	8.320221560293447	9.310075095108154	9.929530934886936	11.8839051312064	0.12412386306150706	0.015406733381311759	-0.009646695159357007	-0.03287263658134735	0.06140838840980666
b0004	30.0	9.4056681876856	1.1174955289717714	7.557830898297166	8.582547135403868	9.294810729738863	9.936378893114645	11.9927696226396	0.11881086028899634	0.014116020522611409	-0.004838997503321756	-0.015917337680766832	0.09433752422376093
b0005	30.0	5.287669582418243	1.1518830780317693	1.878805274483205	4.758953034838901	5.34727799132396	6.027755492182612	7.24450569541342	0.2178432407845294	0.047455677555506455	-0.009397795621552872	-0.03186424493291686	0.23361886895035136
b0006	30.0	6.660580636192647	0.43160745281820034	5.28592728503855	6.435200438226491	6.68589358597964	6.990858892628661	7.503775184248845	0.06480027438942888	0.004199075560945273	0.23274793175350583	0.2956950151759355	0.3631104705971176
b0007	30.0	4.2752967057587	0.9921799276731362	2.9017244919962	3.515890496569522	4.0341448005400204	5.027936399992029	6.24033167750185	0.23207276499352636	0.05385776825174051	0.08544151441706574	0.24953335843998867	0.2736678179132688
b0008	30.0	10.955620843614627	0.4296414076833822	10.33141555568525	10.64197953915695	10.969852318369975	11.228366980299924	12.0242478533985	0.03921652764514887	0.0015379360405427256	0.44723336925039114	0.5656002181563231	0.5426632584475306
b0009	30.0	6.491057016686203	0.4136776039916833	5.55124175519037	6.193925384263011	6.3796907652690225	6.735484342117616	7.4020624650340405	0.06373039135664114	0.0040615627824706416	0.2723434791840737	0.3316257369853302	0.2714428763042178
b0010	30.0	5.252817558749075	0.5207067203975771	4.262386775704165	4.9340577512393935	5.257569282197824	5.589747714079262	6.47525008714748	0.09912903210017067	0.009826565005116666	-0.27921254073258533	-0.42795424728417547	-0.29191233910748665
b0011	30.0	2.7997047527137053	0.6895865309017486	1.10351424134831	2.4180669009106537	2.762982783641065	3.373498774190699	3.89126534656561	0.24630687583515523	0.06066707708367457	-0.17562006158346619	-0.3564775077152713	-0.33262877055311935
b0014	30.0	10.242671131238358	0.717838933827159	8.76566880048772	10.075713842802628	10.356266166327275	10.6252391071522	11.6823932295641	0.0700831769984175	0.0049116516981915145	-0.03690102564886795	-0.07797128373522022	0.0017799532872407723
b0015	30.0	7.998065109612252	0.7904575037592533	6.36317588331694	7.513081271109475	8.052778374618413	8.507523833619457	9.6634333313312	0.09883109138599834	0.009767584624547554	-0.007161732555635423	-0.016663486076964953	-0.011124708045254826
b0016	30.0	6.078404972933462	0.5225641239899519	5.02521284989031	5.7476898257960505	6.083275229322011	6.469039758098781	7.0557968647346545	0.08597060023425199	0.007390944104637566	-0.11460885058285827	-0.17628971877690805	-0.25586828504086107
b0018	30.0	2.690410544823919	1.6163195090271048	0.0	1.7570311303307227	2.887699889328845	3.3422610437282088	6.73484150718271	0.6007705820722202	0.36092529228339426	-0.06744602329637508	-0.32088750068208416	-0.2452977320927797
b0019	30.0	6.312857910468585	0.8553343080536029	4.30955788391791	5.9701655179589475	6.310867592468735	6.9486563763488185	7.50670091692695	0.13549082209425398	0.01835776287177678	-0.18003387198921386	-0.453272479608421	-0.4919345897611685
b0020	30.0	5.624915523727742	0.5580590406212551	4.50900440181302	5.180250065478075	5.652641475503012	6.0000868045049085	6.64777436417976	0.09921198607644484	0.009843018181232684	-0.2651707572644057	-0.435587104993029	-0.46835020870522825
