log-TPM	count	mean	std	min	25_percentile	50_percentile	75_percentile	max	cv	noise	lin_slope	lin_r	spearmans_rho
b0002	103.0	10.02885851518459	1.793338039022289	0.056428132578986	9.598118044578246	10.50499797462215	11.080190050496025	12.361644130312701	0.1788177623911051	0.031975792146561724	0.02383434353035856	0.15047059092758286	0.21525897673410288
b0003	103.0	9.776098426249325	1.009883924226943	7.26520550660544	9.123471327280827	10.0230556133478	10.493900900309425	11.8839051312064	0.10330132535443312	0.010671163819982446	0.04248956221996129	0.15105669790345216	0.18289461521110076
b0004	103.0	9.849752459974049	1.0336034009942765	7.37195118355957	9.14969286541464	10.1048997198781	10.61829070803805	11.9927696226396	0.10493699259899977	0.011011772415722532	0.03863289632617434	0.14057156167750728	0.14997556159344003
b0005	103.0	5.5500555378364025	0.9874743896907507	1.878805274483205	4.8344443754028275	5.70524331426622	6.201345616389627	7.5516873176697	0.17792153302950575	0.0316560719155695	0.07424291865229805	0.25808760585819124	0.41298199447568146
b0006	103.0	6.8518460442591405	0.4076009212374821	5.28592728503855	6.653257943545142	6.84932795093548	7.024588650492505	8.346838774874515	0.059487752439941775	0.003538792690355799	0.16954017122230508	0.24327307554889807	0.24372401759168305
b0007	103.0	3.9914755245273095	0.9523346292402852	2.03252432280794	3.3283808325981	3.657802346559445	4.37401612778814	6.24033167750185	0.23859212549050152	0.056926202346075226	0.08174304008723607	0.2740479977769896	0.16854950876309774
b0008	103.0	11.132111350122544	0.3982689322377731	10.0738340405744	10.9429113076576	11.1752729260653	11.3832797910867	12.0532538754942	0.03577658538542995	0.0012799640618409598	0.2735533685400876	0.3835347932759393	0.2907190696114233
b0009	103.0	6.376712087937451	0.37657000533340523	5.16772496740783	6.14352688012698	6.332631968424366	6.589127468009496	7.465227262823965	0.05905394506453355	0.003487368427684946	0.24471735113929824	0.32441188690538386	0.23606816828520671
b0010	103.0	5.178247479726491	0.4859137002173113	3.9763475106798554	4.854946617391055	5.15584883939	5.481019470832098	6.47525008714748	0.09383748114004328	0.008805472866707978	-0.13136366896812562	-0.22470911284799566	-0.21156286010335787
b0011	103.0	2.62547516025339	0.6411178646033834	1.10351424134831	2.194666273172433	2.622806233304405	3.0567952935426472	4.26717299062675	0.24419117510961627	0.05962933000141527	-0.144579324073697	-0.326309967472337	-0.3069259643771418
b0014	103.0	10.574619893827304	0.6614689564352606	8.76566880048772	10.2432274660536	10.571536040150601	10.971722874573	11.828246109514	0.06255250430527325	0.003912815794861229	-0.0008836074095789881	-0.0020575722185197853	0.04330991939086964
b0015	103.0	8.14493979195148	0.6730396222200212	6.36317588331694	7.76278749106046	8.089461539440165	8.51750740653204	9.70265341867143	0.08263285419065877	0.006828188591694674	0.02624471334419371	0.06218257997190742	0.04971908448459837
b0016	103.0	6.152689173815507	0.4587081918727764	5.02521284989031	5.894676271901725	6.157914276146135	6.33033960281298	8.29779052180871	0.07455409803975432	0.0055583135345213	-0.09880388405158827	-0.15954999127760555	-0.18137882295242969
